id,category,title,prompt,notes
p01,Resumo,Resumo técnico,"Você é um assistente jurídico. Resuma em até 250 palavras o texto abaixo. Destaque: pedidos, fundamentos jurídicos principais, fatos relevantes e prazos processuais.","Usar para petições, decisões e peças."
p02,Extração,Extrair cláusulas de contrato,"Extraia e liste todas as cláusulas relativas a prazo, rescisão e multa do contrato abaixo. Para cada cláusula, informe: (i) número/identificação; (ii) texto exato; (iii) sugestão de risco/observação.","Útil para due diligence e revisão contratual."
p03,Argumentação,Geração de teses,"Com base nos fatos e na legislação informada, proponha 3 teses jurídicas distintas. Para cada tese, apresente: i) enunciado; ii) fundamentos legais (artigos e súmulas, se houver); iii) provas necessárias; iv) possíveis contrarrazões e como rebater.","Gerar esboço para rascunho de peça."
p04,Revisão,Revisor jurídico,"Atue como revisor jurídico. Analise o texto abaixo e liste: (a) erros factuais; (b) citações legais incorretas; (c) omissões relevantes; (d) sugestões de melhoria (máx. 10 itens). Indique trecho e sugestão de correção.","Usar antes de protocolar ou enviar ao cliente."
p05,Anonimização,Anonimizar texto,"Anonimize o texto abaixo substituindo nomes, CPF/CNPJ, endereços, telefones e números de processo por placeholders (ex.: [NOME1], [CPF1], [ENDERECO1], [PROCESSO1]). Retorne também lista de placeholders e mapeamento.","Executar antes de indexar/compartilhar."
p06,RAG,Responder com fontes,"Use os trechos abaixo (marcados com [DOC_ID:parágrafo]) para responder à pergunta: [pergunta]. Ao final, indique as referências consultadas (DOC_ID e número do parágrafo). Se não houver resposta baseada nos trechos, responda 'Sem informação nos trechos fornecidos'.","Para uso em fluxo RAG — garante referências."
p07,Triagem,Classificação de caso,"Analise as respostas do cliente abaixo e classifique o caso na categoria mais adequada: Trabalhista, Cível, Família, Tributário, Penal, Administrativo, Outro. Para a categoria escolhida, liste 5 documentos necessários e os 3 primeiros passos recomendados.","Útil para formulário inicial de atendimento."
p08,Checklist,Diligências iniciais,"Com base no caso descrito e na categoria [categoria], elabore checklist de diligências iniciais em ordem de prioridade (máx. 12 itens), incluindo prazos e responsável sugerido.","Usar para gestão de tarefas internas."
p09,Cálculo,Verificação de cálculos,"Verifique e reescreva os cálculos de condenação abaixo, indicando fórmula usada, valores intermediários e total. Se houver erro, explique onde e proponha correção.","Aplicável a execuções e cálculos trabalhistas/cíveis."
p10,Comunicação,Rascunho de e-mail ao cliente,"Gere um e-mail claro e objetivo para o cliente explicando: (a) resumo do status do processo; (b) próximos passos; (c) documentos necessários; (d) pedido de confirmação. Tom: profissional e acessível.","Usar templates padrão do escritório."
